Query Name,Top Hit,E-Value,Bit Score,Sequence Count,Total As,Total Ts,Total Cs,Total Gs,Total Ns  
B1b2_2_forward, Pseudomonas_oleovorans, 0, 1111.0, 1167, 251, 300, 340, 276, 0
B1b2_2_reverse, Pseudomonas_oleovorans, 0, 1177.6, 1174, 261, 293, 354, 266, 0
B1b3_2_forward, Pseudomonas_oleovorans, 0, 1291.4, 1133, 293, 241, 248, 351, 0
B1b3_2_reverse, Pseudomonas_oleovorans, 0, 1105.7, 1147, 249, 299, 336, 263, 0
B2c_forward, Pseudomonas_chlororaphis, 0, 1080.1, 1147, 285, 237, 245, 380, 0
B2c_reverse, Pseudomonas_oleovorans, 0, 1127.0, 1160, 253, 297, 328, 282, 0
A0103_LKAP-FHGF1_D12_090, Vibrio_tubiashii, 7.9e-258, 851.6, 732, 183, 151, 153, 245, 0
A0118_LKAP-FHGF1_C01_011, Vibrio_tubiashii, 1.2e-284, 940.6, 809, 205, 167, 170, 267, 0
A0133_LKAP-FHGF1_D11_089, Vibrio_tubiashii, 9.4e-231, 761.8, 681, 170, 147, 142, 222, 0
A0224_LKAP-FHGF1_C07_059, Vibrio_tubiashii, 0, 1041.5, 862, 214, 181, 183, 284, 0
A0512_LKAP-FHGF1_E12_088, Vibrio_tubiashii, 4.7e-177, 583.5, 542, 138, 112, 116, 176, 0
A0513_LKAP-FHGF1_B09_077, Vibrio_tubiashii, 1.3e-249, 824.5, 780, 204, 164, 166, 246, 0
A0515_LKAP-FHGF1_D08_058, Vibrio_tubiashii, 3e-286, 946.1, 852, 215, 186, 184, 267, 0
A0515b_LKAP-FHGF1_E09_071, Vibrio_tubiashii, 1.8e-268, 887.0, 779, 206, 159, 164, 250, 0
A0516_LKAP-FHGF1_D07_057, Vibrio_tubiashii, 0, 1048.9, 938, 240, 202, 198, 298, 0
A0517_LKAP-FHGF1_B01_013, Vibrio_tubiashii, 0, 1059.6, 940, 235, 208, 204, 293, 0
A0518_LKAP-FHGF1_E07_055, Vibrio_tubiashii, 3.4e-221, 729.9, 621, 156, 130, 134, 201, 0
A0519_LKAP-FHGF1_C11_091, Vibrio_tubiashii, 0, 1140.3, 936, 237, 194, 199, 306, 0
A0519b_LKAP-FHGF1_E08_056, Vibrio_tubiashii, 1.4e-221, 731.2, 621, 157, 129, 133, 202, 0
A0520_LKAP-FHGF1_A09_079, Vibrio_tubiashii, 0, 1358.5, 1211, 305, 259, 264, 383, 0
A0521_LKAP-FHGF1_D09_073, Vibrio_tubiashii, 4.7e-293, 968.7, 923, 228, 217, 196, 282, 0
A0618_LKAP-FHGF1_E11_087, Thalassospira_xianhensis, 1.5e-175, 575.0, 597, 147, 125, 134, 191, 0
A0618_LKAP-FHGF1_B12_094, Thalassospira_xianhensis, 3.6e-212, 696.5, 716, 180, 138, 159, 239, 0
A0623_LKAP-FHGF1_B02_014, Staphylococcus_capitis, 0, 1281.1, 1050, 287, 228, 227, 308, 0
A0623b_LKAP-FHGF1_F04_022, Jeotgalibacillus_salarius, 2.6e-142, 464.5, 550, 143, 107, 129, 171, 0
A0901_LKAP-FHGF1_D04_026, Vibrio_tubiashii, 1.5e-258, 854.1, 750, 192, 156, 157, 245, 0
A0905_LKAP-FHGF1_C02_012, Vibrio_tubiashii, 2.3e-299, 989.5, 866, 218, 187, 189, 272, 0
A0910_LKAP-FHGF1_D05_041, Vibrio_tubiashii, 7e-252, 831.9, 710, 179, 153, 147, 231, 0
A0922_LKAP-FHGF1_C10_076, Vibrio_tubiashii, 0, 1178.2, 956, 242, 199, 206, 309, 0
A1005_LKAP-FHGF1_D06_042, Vibrio_tubiashii, 6.4e-279, 921.7, 805, 198, 172, 171, 264, 0
B0301_LKAP-FHGF1_C05_043, Zobellella_aerophila, 2.6e-24, 72.0, 332, 95, 68, 74, 95, 0
B0302_LKAP-FHGF1_C04_028, Vibrio_tubiashii, 1.9e-251, 830.5, 722, 187, 152, 151, 232, 0
B0302_LKAP-FHGF1_A03_031, Vibrio_tubiashii, 0, 1316.2, 1099, 270, 237, 235, 357, 0
B0304_LKAP-FHGF1_A02_016, Vibrio_tubiashii, 0, 1210.4, 1044, 262, 223, 222, 337, 0
B0306_LKAP-FHGF1_A06_048, Vibrio_tubiashii, 0, 1050.1, 938, 235, 205, 200, 298, 0
B0315_LKAP-FHGF1_B07_061, Shewanella_indica, 2.6e-242, 799.1, 812, 205, 170, 179, 258, 0
B0317_LKAP-FHGF1_D02_010, Shewanella_colwelliana, 1.2e-163, 538.4, 590, 147, 125, 134, 184, 0
B0319_LKAP-FHGF1_A01_015, Citricoccus_parietis, 0, 1123.9, 1107, 242, 220, 266, 379, 0
B0323_LKAP-FHGF1_D10_074, Vibrio_tubiashii, 3.7e-85, 278.4, 388, 85, 93, 93, 117, 0
B0606_LKAP-FHGF1_B03_029, Vibrio_tubiashii, 0, 1192.8, 1016, 254, 219, 217, 326, 0
B0707_LKAP-FHGF1_C09_075, Vibrio_tubiashii, 0, 1189.0, 936, 238, 188, 201, 309, 0
B0801_LKAP-FHGF1_B11_093, Vibrio_tubiashii, 2.6e-215, 710.5, 619, 155, 127, 134, 203, 0
B0925_LKAP-FHGF1_C06_044, Vibrio_tubiashii, 2.2e-288, 953.0, 808, 200, 173, 171, 264, 0
B0929_LKAP-FHGF1_C08_060, Vibrio_tubiashii, 9.3e-295, 974.2, 809, 205, 170, 170, 264, 0
C0401_LKAP-FHGF1_F03_021, Vibrio_tubiashii, 1.3e-221, 731.4, 631, 159, 130, 133, 209, 0
C0401b_LKAP-FHGF1_E01_007, Vibrio_tubiashii, 1.6e-188, 621.5, 543, 135, 104, 122, 182, 0
C0402_LKAP-FHGF1_E02_008, Shewanella_upenei, 1.4e-201, 664.0, 655, 168, 135, 140, 212, 0
C0501_LKAP-FHGF1_E05_039, Dietzia_cinnamea, 1.9e-163, 535.5, 607, 131, 148, 143, 185, 0
C0502_LKAP-FHGF1_G08_052, Aliivibrio_fischeri, 6.3e-176, 575.6, 569, 147, 120, 119, 183, 0
C0504_LKAP-FHGF1_G10_068, Vibrio_tubiashii, 2.3e-189, 624.4, 589, 147, 127, 130, 185, 0
C0505_LKAP-FHGF1_G09_067, Vibrio_tubiashii, 2e-165, 544.7, 473, 114, 92, 106, 161, 0
C0505b_LKAP-FHGF1_B10_078, Vibrio_tubiashii, 7.1e-182, 599.4, 512, 123, 97, 118, 174, 0
C0510_LKAP-FHGF1_B08_062, Vibrio_tubiashii, 1.3e-245, 811.2, 728, 187, 153, 153, 235, 0
C0606_LKAP-FHGF1_G06_036, Vibrio_tubiashii, 1.3e-184, 608.5, 536, 132, 110, 119, 175, 0
C0704_LKAP-FHGF1_A05_047, Photobacterium_damselae, 0, 1306.7, 1144, 275, 242, 253, 374, 0
C0704b_LKAP-FHGF1_C03_027, Photobacterium_damselae, 6.4e-280, 922.8, 789, 197, 154, 174, 264, 0
C0705_LKAP-FHGF1_D01_009, Photobacterium_damselae, 5.4e-180, 591.1, 569, 139, 111, 126, 193, 0
C0807_LKAP-FHGF1_F02_006, Bowmanella_denitrificans, 7.1e-174, 567.7, 555, 147, 109, 120, 179, 0
C0901_LKAP-FHGF1_A04_032, Aliivibrio_salmonicida, 4.4e-43, 135.3, 351, 89, 81, 89, 92, 0
C0907_LKAP-FHGF1_E04_024, Vibrio_tubiashii, 1.7e-255, 843.8, 710, 178, 158, 145, 229, 0
F0101_LKAP-FHGF1_F10_070, Photobacterium_damselae, 6.5e-131, 427.9, 391, 93, 72, 91, 135, 0
F0103_LKAP-FHGF1_A11_095, Vagococcus_fluvialis, 0, 1111.5, 1099, 284, 237, 244, 334, 0
F0113_LKAP-FHGF1_B04_030, Vibrio_tubiashii, 0, 1042.4, 817, 206, 165, 173, 273, 0
F0116_LKAP-FHGF1_G03_019, Photobacterium_damselae, 3.1e-214, 704.8, 638, 153, 129, 142, 214, 0
F0117_LKAP-FHGF1_A12_096, Shewanella_indica, 5.8e-266, 877.5, 855, 216, 171, 189, 279, 0
F0405_LKAP-FHGF1_F01_005, Vibrio_tubiashii, 2.6e-257, 849.9, 730, 179, 163, 154, 234, 0
F0501_LKAP-FHGF1_F05_037, Vibrio_tubiashii, 3.4e-201, 663.5, 552, 134, 105, 123, 190, 0
F0502_LKAP-FHGF1_A07_063, Shewanella_hafniensis, 5.1e-301, 993.8, 1100, 272, 242, 252, 334, 0
F0510_LKAP-FHGF1_G02_004, Vibrio_tubiashii, 7.6e-219, 722.1, 592, 145, 118, 130, 199, 0
F0516_LKAP-FHGF1_F11_085, Vibrio_tubiashii, 1.7e-186, 614.7, 507, 128, 98, 113, 168, 0
F0533_LKAP-FHGF1_G01_003, Alcaligenes_faecalis, 1.2e-55, 174.3, 178, 42, 35, 44, 57, 0
F0536_LKAP-FHGF1_F12_086, Vibrio_tubiashii, 2.1e-238, 787.1, 655, 163, 138, 140, 214, 0
F0612_LKAP-FHGF1_E06_040, Alcaligenes_faecalis, 1.6e-265, 871.8, 692, 184, 147, 143, 218, 0
F0612_LKAP-FHGF1_B04_030, Oceanimonas_smirnovii, 1.3e-218, 716.0, 742, 193, 143, 170, 236, 0
F0619_LKAP-FHGF1_G04_020, Shewanella_indica, 1.4e-191, 630.9, 643, 160, 141, 138, 204, 0
F0626_LKAP-FHGF1_A10_080, Shewanella_haliotis, 0, 1176.2, 1170, 298, 237, 263, 372, 0
F0632_LKAP-FHGF1_E10_072, Oceanimonas_smirnovii, 5.2e-157, 511.8, 555, 134, 115, 132, 174, 0
F0633_LKAP-FHGF1_G05_035, Alcaligenes_faecalis, 1.9e-260, 855.0, 702, 184, 153, 151, 214, 0
F0701_LKAP-FHGF1_A08_064, Vibrio_tubiashii, 0, 1466.2, 1208, 304, 253, 264, 387, 0
F0832_LKAP-FHGF1_B06_046, Oceanimonas_smirnovii, 5.5e-146, 475.2, 503, 125, 95, 118, 165, 0
F0919_LKAP-FHGF1_F07_053, Vibrio_tubiashii, 7.1e-204, 672.4, 550, 137, 108, 120, 185, 0
F0923_LKAP-FHGF1_F06_038, Vibrio_tubiashii, 2.1e-213, 704.2, 633, 150, 154, 129, 200, 0
F0931_LKAP-FHGF1_F08_054, Psychrobacter_alimentarius, 1.1e-191, 630.4, 620, 167, 133, 126, 194, 0
F0932_LKAP-FHGF1_F09_069, Halomonas_songnenensis, 1.4e-49, 160.8, 390, 84, 79, 114, 113, 0
LKAP.g-Gut1_A04_032.seq, Vibrio_tubiashii, 0, 1394.6, 1145, 288, 246, 242, 369, 0
LKAP.g-Gut1_B06_046.seq, Vibrio_tubiashii, 0, 1025.3, 901, 231, 195, 189, 286, 0
LKAP.g-Gut1_B07_061.seq, Vibrio_tubiashii, 0, 1387.3, 1123, 282, 240, 238, 363, 0
LKAP.g-Gut1_G10_068.seq, Litorisediminivivens_gilvus, 1.6e-24, 72.8, 923, 199, 257, 224, 243, 0
LKAP.g-Gut1_E11_087.seq, Pseudoalteromonas_gelatinilytica, 6.7e-259, 853.7, 1011, 256, 225, 223, 307, 0
LKAP.g-Gut1_F08_054.seq, Vibrio_tubiashii, 0, 1314.8, 1126, 282, 242, 242, 360, 0
LKAP.g-Gut1_D01_009.seq, Aliivibrio_fischeri, 0, 1134.6, 1161, 298, 249, 251, 363, 0
LKAP.g-Gut1_B08_062.seq, Vibrio_tubiashii, 0, 1421.7, 1152, 290, 241, 244, 377, 0
LKAP.g-Gut1_E08_056.seq, Vibrio_tubiashii, 0, 1304.9, 1095, 274, 237, 235, 349, 0
LKAP.g-Gut1_C04_028.seq, Vibrio_tubiashii, 0, 1408.3, 1139, 288, 248, 242, 361, 0
LKAP.g-Gut1_C05_043.seq, Vibrio_tubiashii, 0, 1404.9, 1129, 283, 241, 242, 363, 0
LKAP.g-Gut1_H12_082.seq, Ruegeria_mobilis, 8.4e-81, 261.7, 603, 148, 169, 126, 160, 0
LKAP.g-Gut1_A12_096.seq, Vibrio_tubiashii, 0, 1376.9, 1147, 293, 239, 247, 368, 0
LKAP.g-Gut1_C02_012.seq, Vibrio_tubiashii, 0, 1365.6, 1134, 282, 244, 245, 363, 0
LKAP.g-Gut1_D09_073.seq, Vibrio_tubiashii, 0, 1403.9, 1116, 279, 234, 238, 365, 0
LKAP.g-Gut1_G11_083.seq, Tenacibaculum_ascidiaceicola, 1e-210, 693.2, 888, 250, 241, 180, 217, 0
LKAP.g-Gut1_H04_018.seq, Sedimentitalea_nanhaiensis, 0, 1040.6, 1064, 273, 225, 240, 326, 0
LKAP.g-Gut1_H09_065.seq, Sedimentitalea_nanhaiensis, 0, 1117.8, 1095, 276, 235, 247, 337, 0
LKAP.g-Gut1_E12_088.seq, Vibrio_tubiashii, 0, 1349.8, 1140, 292, 239, 246, 363, 0
LKAP.g-Gut1_B04_030.seq, Vibrio_tubiashii, 6e-160, 527.7, 1064, 227, 271, 265, 301, 0
LKAP.g-Gut1_E04_024.seq, Pseudoalteromonas_gelatinilytica, 0, 1132.1, 1131, 292, 240, 247, 352, 0
LKAP.g-Gut1_D12_090.seq, Pseudoalteromonas_gelatinilytica, 0, 1092.6, 1055, 274, 229, 223, 329, 0
LKAP.g-Gut1_F11_085.seq, Vibrio_tubiashii, 0, 1334.0, 1150, 286, 244, 245, 375, 0
LKAP.g-Gut1_A02_016.seq, Vibrio_tubiashii, 0, 1370.9, 1087, 270, 235, 235, 347, 0
LKAP.g-Gut1_D10_074.seq, Vibrio_tubiashii, 0, 1362.8, 1095, 272, 234, 235, 354, 0
LKAP.g-Gut1_F07_053.seq, Pseudoalteromonas_gelatinilytica, 0, 1161.4, 1162, 297, 244, 252, 369, 0
LKAP.g-Gut1_B11_093.seq, Vibrio_tubiashii, 0, 1410.0, 1150, 290, 239, 246, 375, 0
LKAP.g-Gut1_C10_076.seq, Thioclava_arenosa, 8.3e-30, 92.8, 1071, 280, 312, 214, 265, 0
LKAP.g-Gut1_E01_007.seq, Shewanella_pneumatophori, 1e-219, 724.7, 1030, 265, 257, 236, 272, 0
LKAP.g-Gut1_B02_014.seq, Vibrio_tubiashii, 0, 1388.7, 1090, 270, 233, 235, 352, 0
LKAP.g-Gut1_C01_011.seq, Vibrio_tubiashii, 0, 1432.4, 1158, 290, 247, 248, 373, 0
LKAP.g-Gut1_F02_006.seq, Vibrio_tubiashii, 0, 1185.4, 1031, 265, 216, 229, 321, 0
LKAP.g-Gut1_F03_021.seq, Roseovarius_lutimaris, 0, 1112.6, 1107, 281, 235, 251, 340, 0
LKAP.g-Gut1_F06_038.seq, Tenacibaculum_ascidiaceicola, 7.5e-134, 438.9, 881, 244, 238, 200, 199, 0
LKAP.g-Gut1_A01_015.seq, Vibrio_tubiashii, 0, 1314.5, 1099, 270, 234, 235, 360, 0
LKAP.g-Gut1_E07_055.seq, Vibrio_tubiashii, 0, 1270.8, 1086, 275, 233, 235, 343, 0
LKAP.g-Gut1_F10_070.seq, Vibrio_tubiashii, 0, 1317.2, 1096, 274, 238, 235, 349, 0
LKAP.g-Gut1_A11_095.seq, Pseudoalteromonas_shioyasakiensis, 2e-148, 488.3, 1161, 249, 310, 279, 323, 0
LKAP.g-Gut1_H05_033.seq, Vibrio_tubiashii, 0, 1335.4, 1135, 290, 236, 247, 362, 0
LKAP.g-Gut1_G03_019.seq, Vibrio_tubiashii, 8.7e-109, 357.8, 813, 200, 239, 169, 205, 0
LKAP.g-Gut1_A07_063.seq, Exiguobacterium_marinum, 1.4e-168, 553.3, 927, 222, 206, 234, 265, 0
LKAP.g-Gut1_D08_058.seq, Vibrio_tubiashii, 0, 1380.3, 1143, 292, 247, 242, 362, 0
LKAP.g-Gut1_H01_001.seq, Tenacibaculum_ascidiaceicola, 0, 1162.0, 1123, 318, 270, 221, 314, 0
LKAP.g-Gut1_E06_040.seq, Vibrio_tubiashii, 0, 1292.5, 1082, 278, 226, 234, 344, 0
LKAP.g-Gut1_F05_037.seq, Vibrio_tubiashii, 0, 1318.4, 1104, 279, 235, 240, 350, 0
LKAP.g-Gut1_D06_042.seq, Vibrio_tubiashii, 0, 1379.2, 1091, 272, 234, 233, 352, 0
LKAP.g-Gut1_A08_064.seq, Vibrio_tubiashii, 0, 1448.2, 1193, 300, 266, 251, 376, 0
LKAP.g-Gut1_B05_045.seq, Photobacterium_damselae, 0, 1185.7, 1107, 271, 236, 246, 354, 0
LKAP.g-Gut1_C12_092.seq, Vibrio_rotiferianus, 4.8e-48, 156.7, 598, 140, 160, 126, 172, 0
LKAP.g-Gut1_G01_003.seq, Vibrio_tubiashii, 0, 1252.3, 1105, 281, 239, 242, 343, 0
LKAP.g-Gut1_A09_079.seq, Vibrio_tubiashii, 0, 1455.2, 1201, 303, 256, 263, 379, 0
LKAP.g-Gut1_G05_035.seq, Shewanella_pneumatophori, 0, 1137.4, 1132, 288, 235, 247, 362, 0
LKAP.g-Gut1_E02_008.seq, Vibrio_chagasii, 2.5e-41, 134.7, 652, 170, 205, 113, 164, 0
LKAP.g-Gut1_H02_002.seq, Vibrio_tubiashii, 0, 1357.7, 1140, 287, 240, 243, 370, 0
LKAP.g-Gut1_E09_071.seq, Aliivibrio_fischeri, 0, 1127.1, 1120, 291, 244, 237, 348, 0
LKAP.g-Gut1_G07_051.seq, Vibrio_aestuarianus, 1.4e-68, 225.4, 995, 251, 282, 192, 270, 0
LKAP.g-Gut1_C08_060.seq, Vibrio_crosai, 1.9e-53, 174.9, 800, 196, 197, 190, 217, 0
LKAP.g-Gut1_A10_080.seq, Vibrio_tubiashii, 0, 1152.9, 958, 240, 202, 206, 310, 0
LKAP.g-Gut1_B01_013.seq, Vibrio_tubiashii, 0, 1353.8, 1087, 278, 230, 235, 344, 0
LKAP.g-Gut1_E05_039.seq, Vibrio_tubiashii, 4.6e-107, 352.0, 786, 205, 201, 187, 193, 0
LKAP.g-Gut1_H10_066.seq, Sedimentitalea_nanhaiensis, 0, 1097.5, 1058, 268, 227, 240, 323, 0
LKAP.g-Gut1_B09_077.seq, Ruegeria_mobilis, 0, 1135.4, 1115, 276, 232, 257, 350, 0
LKAP.g-Gut1_C03_027.seq, Photobacterium_damselae, 0, 1248.1, 1147, 282, 242, 254, 369, 0
LKAP.g-Gut1_G06_036.seq, Tenacibaculum_discolor, 0, 1134.9, 1119, 313, 269, 223, 314, 0
LKAP.g-Gut1_H03_017.seq, Vibrio_tubiashii, 0, 1329.6, 1135, 290, 239, 247, 359, 0
LKAP.g-Gut1_D07_057.seq, Vibrio_tubiashii, 0, 1385.4, 1113, 279, 237, 238, 359, 0
LKAP.g-Gut1_E10_072.seq, Pseudoalteromonas_gelatinilytica, 0, 1108.6, 1072, 277, 227, 232, 336, 0
LKAP.g-Gut1_C09_075.seq, Vibrio_tubiashii, 7.6e-112, 367.8, 732, 168, 196, 158, 210, 0
LKAP.g-Gut1_C11_091.seq, Photobacterium_damselae, 0, 1222.8, 1149, 278, 239, 256, 376, 0
LKAP.g-Gut1_F01_005.seq, Vibrio_tubiashii, 0, 1346.0, 1116, 282, 237, 245, 352, 0
LKAP.g-Gut1_H06_034.seq, Vibrio_tubiashii, 0, 1280.9, 1080, 265, 226, 235, 354, 0
LKAP.g-Gut1_G04_020.seq, Vibrio_tubiashii, 0, 1333.7, 1136, 287, 245, 240, 364, 0
LKAP.g-Gut1_A06_048.seq, Vibrio_tubiashii, 0, 1409.1, 1151, 291, 242, 249, 369, 0
LKAP.g-Gut1_H07_049.seq, Vibrio_tubiashii, 0, 1360.7, 1137, 285, 239, 242, 371, 0
LKAP.g-Gut1_H11_081.seq, Shewanella_colwelliana, 0, 1141.2, 1114, 280, 241, 242, 351, 0
LKAP.g-Gut1_D02_010.seq, Vibrio_tubiashii, 0, 1352.7, 1059, 262, 226, 225, 346, 0
LKAP.g-Gut1_B10_078.seq, Vibrio_tubiashii, 0, 1417.3, 1140, 290, 239, 242, 369, 0
LKAP.g-Gut1_C06_044.seq, Vibrio_tubiashii, 0, 1358.9, 1108, 274, 238, 242, 354, 0
LKAP.g-Gut1_B12_094.seq, Vibrio_tubiashii, 0, 1133.9, 897, 232, 181, 189, 295, 0
LKAP.g-Gut1_F04_022.seq, Pseudoalteromonas_gelatinilytica, 0, 1138.4, 1150, 302, 243, 249, 356, 0
LKAP.g-Gut1_G02_004.seq, Vibrio_tubiashii, 0, 1352.0, 1157, 294, 246, 246, 371, 0
LKAP.g-Gut1_B03_029.seq, Vibrio_tubiashii, 0, 1357.2, 1112, 273, 245, 240, 354, 0
LKAP.g-Gut1_G08_052.seq, Tenacibaculum_discolor, 0, 1164.5, 1165, 323, 281, 235, 326, 0
LKAP.g-Gut1_G09_067.seq, Tenacibaculum_discolor, 0, 1149.8, 1157, 325, 278, 230, 324, 0
LKAP.g-Gut1_A05_047.seq, Vibrio_tubiashii, 0, 1352.7, 1163, 290, 254, 249, 370, 0
LKAP.g-Gut1_D03_025.seq, Vibrio_tubiashii, 0, 1401.0, 1132, 282, 248, 242, 360, 0
LKAP.g-Gut1_G12_084.seq, Vibrio_tubiashii, 3.4e-63, 206.8, 897, 214, 246, 217, 220, 0
LKAP.g-Gut1_C07_059.seq, Vibrio_tubiashii, 0, 1402.8, 1140, 285, 243, 245, 367, 0
LKAP.g-Gut1_E03_023.seq, Pseudoalteromonas_gelatinilytica, 0, 1053.8, 1041, 271, 221, 225, 324, 0
LKAP.g-Gut1_A03_031.seq, Vibrio_aestuarianus, 1.3e-31, 103.2, 1143, 287, 319, 260, 277, 0
LKAP.g-Gut1_F09_069.seq, Bibersteinia_trehalosi, 1.6e-26, 79.7, 1003, 255, 252, 238, 258, 0
LKAP.g-Gut1_F12_086.seq, Vibrio_coralliilyticus, 5.2e-31, 101.2, 1129, 261, 340, 271, 257, 0
LKAP.g-Gut1_H08_050.seq, Vibrio_tubiashii, 0, 1369.7, 1132, 282, 242, 244, 364, 0
LKAP-Gut2_D10_074.seq, Kiloniella_spongiae, 0, 1092.1, 1056, 271, 230, 224, 331, 0
LKAP-Gut2_H01_001.seq, Sedimentitalea_nanhaiensis, 0, 1038.5, 984, 251, 212, 218, 303, 0
LKAP-Gut2_E12_088.seq, Sedimentitalea_nanhaiensis, 0, 1029.8, 1003, 256, 215, 223, 309, 0
LKAP-Gut2_A05_047.seq, Vibrio_tubiashii, 0, 1271.6, 1059, 269, 221, 226, 343, 0
LKAP-Gut2_H02_002.seq, Vibrio_tubiashii, 0, 1258.7, 1054, 261, 222, 224, 347, 0
LKAP-Gut2_B12_094.seq, Pseudoalteromonas_ulvae, 8.9e-300, 988.7, 1002, 267, 208, 218, 309, 0
LKAP-Gut2_H10_066.seq, Sedimentitalea_nanhaiensis, 0, 1086.3, 1035, 263, 223, 233, 316, 0
LKAP-Gut2_B08_062.seq, Shewanella_fidelis, 0, 1113.1, 1068, 270, 219, 235, 344, 0
LKAP-Gut2_H04_018.seq, Tenacibaculum_discolor, 8.1e-60, 193.3, 599, 141, 156, 142, 160, 0
LKAP-Gut2_F08_054.seq, Shewanella_fidelis, 0, 1104.2, 1061, 270, 218, 233, 340, 0
LKAP-Gut2_A03_031.seq, Sedimentitalea_nanhaiensis, 3.8e-257, 843.4, 863, 222, 187, 187, 267, 0
LKAP-Gut2_B03_029.seq, Thalassospira_xianhensis, 0, 1085.9, 1078, 268, 217, 247, 346, 0
LKAP-Gut2_C01_011.seq, Pseudophaeobacter_arcticus, 0, 1054.2, 1051, 265, 221, 242, 323, 0
LKAP-Gut2_B01_013.seq, Tenacibaculum_litoreum, 0, 1078.4, 1063, 302, 259, 208, 294, 0
LKAP-Gut2_E06_040.seq, Algibacter_aquimarinus, 2.9e-300, 988.7, 1095, 299, 254, 224, 318, 0
LKAP-Gut2_E02_008.seq, Thalassobius_aestuarii, 3.5e-307, 1011.0, 1076, 268, 229, 244, 335, 0
LKAP-Gut2_A02_016.seq, Sedimentitalea_nanhaiensis, 0, 1073.9, 1029, 260, 221, 233, 315, 0
